url_path,views_total,views_unique
/tendermint/starport,1588,500
/tendermint/starport/pulls,393,22
/tendermint/starport/pull/1437,155,11
/tendermint/starport/issues,144,35
/tendermint/starport/search,106,25
/tendermint/starport/pull/1435,96,5
/tendermint/starport/tree/develop/starport,90,43
/tendermint/starport/pull/1417,83,20
/tendermint/starport/releases,56,35
/tendermint/starport/pull/1449,53,4
